id;empresa;classe;codigo;nome;categoria_busca;categoria_label;preco;desconto;data;Descricao;info_envio;link_geral;link_afiliado
30;AZ;AS;AZ30AS;Kit 5 Sacos para Lavar Roupas Delicadas na Máquina de Lavar, Duráveis | Proteção Total Contra Danos e Desgaste | Zíper Reforçado | Perfeito para Roupas Íntimas – Qualidade Premium;Saco para lavar roupas;Acessórios;21.9;12;;Para maiores cuidados com suas roupas, principalmente as delicadas.;;;https://amzn.to/44kdIVl
31;AZ;MS;AZ31ML;Carrinho Organizador Multiuso 3 Prateleiras Com Rodinhas/Estante/Fruteira (Preto);Carrinho organizador;Móveis;99.0;29;;Uso indicado escritório, cozinha e banheiroBarra de ferroMontagem facilPodem ser colocados itens de lavanderia, escritório, garagem ou banheiro.;;;https://amzn.to/3K68aHf
32;AZ;AS;AZ32AS;Kit Organizador de Malas 8 Peças Conjunto Organizador Mala Roupas Sapatos Maquiagem Acessórios Bagagem Organizada kit Dobravél Prático (Cinza);Bolsa organizadora;Acessórios;49.41;10;;Organização Total: Com 8 peças, seu kit mantém roupas, sapatos, maquiagem e acessórios separados e sempre ao alcance.;;;https://amzn.to/485Bkyb
33;AZ;US;AZ33US;Suporte Organizador de Tampas, Cromado, 6 Divisórias, Arthi;Suporte organizador;Utensílios;35.99;11;;Design moderno Economiza EspaçoFuncional Protege as Tampas;;;https://amzn.to/3XythVI
34;AZ;US;AZ34US;Kit 5 Caixas Organizadoras com Tampa Plástico Resistente Multiuso Armário Cozinha Lavanderia;Organizadores;Utensílios;74.9;0;;Kit Completo com 5 Caixas Inclui 2 caixas de 2L, 2 caixas de 4,5L e 1 caixa de 17L – ideal para organizar diferentes tipos de itens.;;;https://amzn.to/4o5JHQq
35;AZ;AS;AZ35AS;Cabides de madeira maciça para terno – Pacote com 20 – com barra antiderrapante e entalhes cortados com precisão – Gancho cromado giratório de 360 graus;Organizadores;Utensílios;69.99;8;;Maximize o espaço do seu armário e mantenha suas roupas, camisas, vestidos, jaquetas, ternos, calças, blusas e casacos em sua forma original com este luxuoso cabide de madeira de lótus que economiza espaço;;;https://amzn.to/3XzrMGL
36;MG;ES;MG36ES;"Smart TV 50"" TCL 4K UHD QLED 50P7K Google TV AiPQ Google Assistente 3 HDMI";TV;Eletroeletrônicos;1813.55;0;;"A Smart TV TCL 50P7K de 50"" oferece uma experiência visual e inteligente. Ela combina tecnologia com recursos. Com a resolução 4K UHD e a tecnologia QLED oferece cores e um brilho.";;;https://divulgador.magalu.com/_zsC8YRu
37;AZ;HE;AZ37HE;Headset Gamer com Microfone e Som Potente;headset gamer fone de ouvido;Eletrônicos & Áudio;131.68;37;2025-11-22;Headset gamer com design elegante, som potente e graves marcantes, ideal para jogos e músicas por longas horas de uso.;;https://www.amazon.com.br/Headphone-Ouvido-HV-H2002d-Microfone-Falante/dp/B07Y2G7VX5?ref=dlx_black_dg_dcl_B07Y2G7VX5_dt_sl7_4a_pi&pf_rd_r=2M0V9Y2G7Z38E3JRBKV6&pf_rd_p=7b6891fe-2bf4-4d13-be1e-f0767faf374a;https://amzn.to/4rgST7d
38;AZ;EE;AZ38EE;Echo Dot 5ª Geração com Alexa e Som Potente;echo dot alexa assistente inteligente;Casa Inteligente & Assistentes Virtuais;303.05;0;2025-11-22;Echo Dot 5ª geração com Alexa, som potente e graves reforçados, perfeito para ouvir músicas, notícias e controlar sua casa inteligente por voz.;;https://www.amazon.com.br/Echo-Dot-5ª-geração-Cor-Preta/dp/B09B8VGCR8?ref=dlx_black_dg_dcl_B09B8VGCR8_dt_sl7_4a_pi&pf_rd_r=2M0V9Y2G7Z38E3JRBKV6&pf_rd_p=7b6891fe-2bf4-4d13-be1e-f0767faf374a&th=1;https://amzn.to/4a908rC
39;AZ;AA;AZ39AA;Aparador de Pelos Philips OneBlade Pro à Prova d’Água;aparador de pelos barba oneblade;Beleza & Cuidados Pessoais;279.9;43;2025-11-22;Aparador Philips OneBlade Pro com 12 ajustes de corte, leve e à prova d’água, ideal para aparar, contornar e raspar barba e pelos do corpo com praticidade.;;https://www.amazon.com.br/Aparador-Raspador-OneBlade-QP6532-10/dp/B0F3BKFZR7?ref=dlx_black_dg_dcl_B0F3BKFZR7_dt_sl7_4a_pi&pf_rd_r=2M0V9Y2G7Z38E3JRBKV6&pf_rd_p=7b6891fe-2bf4-4d13-be1e-f0767faf374a;https://amzn.to/4obGoXG
40;AZ;BA;AZ40BA;Bicicleta Spinning E16 Acte Sports para Treinos em Casa;bicicleta spinning ergométrica;Fitness & Esportes;920.0;42;2025-11-22;Bicicleta de Spinning E16 Acte Sports com roda de inércia de 8 kg, regulagens completas e estrutura robusta para treinos de cardio em casa.;;https://www.amazon.com.br/Acte-Sports-E16-Elétrostática-Multifunções/dp/B07FMD7WC4?ref=dlx_black_dg_dcl_B07FMD7WC4_dt_sl7_4a_pi&pf_rd_r=2M0V9Y2G7Z38E3JRBKV6&pf_rd_p=7b6891fe-2bf4-4d13-be1e-f0767faf374a&th=1;https://amzn.to/4a5hwxu
41;AZ;ML;AZ41ML;Mala de Viagem Pequena Samsonite Varro Cinza Expansível;mala de viagem pequena rígida;Malas & Bagagem;900.0;20;2025-11-22;Mala de viagem pequena Samsonite Varro com expansor, cadeado TSA e 8 rodas giratórias, resistente e prática para viagens curtas e frequentes.;;https://www.amazon.com.br/Samsonite-Viagem-Varro-Cinza-Pequena/dp/B08M8JTM1P?ref=dlx_black_dg_dcl_B08M8JTM1P_dt_sl7_4a_pi&pf_rd_r=2M0V9Y2G7Z38E3JRBKV6&pf_rd_p=7b6891fe-2bf4-4d13-be1e-f0767faf374a&th=1;https://amzn.to/48bzGLj
